legacy_column_name,source_variables,producer_routine_function,transformation,entity_level,unit_reference_period,first_observed_vintage,last_observed_vintage,current_name_in_income_modeling_eph,migration_status,evidence_path,unresolved_semantic_questions
T_VI,T_VI,annual producer,selected unchanged; CPI normalize to Jan-2016 reference and round,person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",T_VI,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
V12_M,V12_M,annual producer,selected unchanged; CPI normalize to Jan-2016 reference and round,person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",V12_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
V2_01_M,V2_01_M,annual producer,selected schema component; retained without normalization,person,nominal source ARS,2024,"2025 (tracked, partial)",V2_01_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Decide whether component belongs in current contract.
V2_02_M,V2_02_M,annual producer,selected schema component; retained without normalization,person,nominal source ARS,2024,"2025 (tracked, partial)",V2_02_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Decide whether component belongs in current contract.
V2_03_M,V2_03_M,annual producer,selected schema component; retained without normalization,person,nominal source ARS,2024,"2025 (tracked, partial)",V2_03_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Decide whether component belongs in current contract.
V2_M,V2_M,annual producer,"selected unchanged; CPI normalize to Jan-2016 reference and round; if absent sum V2_01_M..03_M, or zero unless all components exist",person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",V2_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
V3_M,V3_M,annual producer,selected unchanged; CPI normalize to Jan-2016 reference and round,person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",V3_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
V5_01_M,V5_01_M,annual producer,selected schema component; retained without normalization,person,nominal source ARS,2024,"2025 (tracked, partial)",V5_01_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Decide whether component belongs in current contract.
V5_02_M,V5_02_M,annual producer,selected schema component; retained without normalization,person,nominal source ARS,2024,"2025 (tracked, partial)",V5_02_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Decide whether component belongs in current contract.
V5_03_M,V5_03_M,annual producer,selected schema component; retained without normalization,person,nominal source ARS,2024,"2025 (tracked, partial)",V5_03_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Decide whether component belongs in current contract.
V5_M,V5_M,annual producer,"selected unchanged; CPI normalize to Jan-2016 reference and round; if absent sum V5_01_M..03_M, or zero unless all components exist",person,January-2016 ARS (legacy IPC vintage),2022,"2025 (tracked, partial)",V5_M,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
Region,"radio_ref.AGLOMERADO, Region",annual producer,implicit inner merge; remove Pampeana alternatives for agglomerates 33/93,geography,region label,2022,"2025 (tracked, partial)",Region,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
Q,"ANO4, TRIMESTRE",annual producer,15th of middle month of quarter,person,date,2022,"2025 (tracked, partial)",Q,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
AGLO_rk,"ANO4, AGLOMERADO, CAT_OCUP, P47T",annual producer,mean P47T where CAT_OCUP=3 and P47T>=100; percentile rank; round(3),year-agglomerate,0–1 percentile,2022,"2025 (tracked, partial)",AGLO_rk,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
Reg_rk,"ANO4, Region, CAT_OCUP, P47T",annual producer,mean P47T where CAT_OCUP=3 and P47T>=100; percentile rank; round(3),year-region,0–1 percentile,2022,"2025 (tracked, partial)",Reg_rk,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm current feature name and domain.
INGRESO,P47T,annual producer,int(P47T > 100) after normalization,person,binary,2022,"2025 (tracked, partial)",INGRESO,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm threshold/reference and current target name.
INGRESO_NLB,T_VI,annual producer,int(T_VI > 100) after normalization,person,binary,2022,"2025 (tracked, partial)",INGRESO_NLB,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm threshold/reference and current target name.
INGRESO_JUB,V2_M,annual producer,int(V2_M > 100) after normalization,person,binary,2022,"2025 (tracked, partial)",INGRESO_JUB,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm threshold/reference and current target name.
INGRESO_SBS,V5_M,annual producer,int(V5_M > 100) after normalization,person,binary,2022,"2025 (tracked, partial)",INGRESO_SBS,unresolved,src/encuestador/preprocesar_datos.py; data/training/EPHARG_train_24.csv,Confirm threshold/reference and current target name.
